db_id	brand	model	first_known_date
96	HGST	HUS726040ALE610	2015-04-02
83	HGST	HUH728080ALE600	2014-08-20
74	HGST	HMS5C4040BLE640	2013-12
22	HGST	HMS5C4040ALE640	2013-03
34	HGST	HDS5C3030BLE630	2012-08
82	HGST	HDS724040ALE640	2012-03-23
81	HGST	HDS5C4040ALE630	2012-01-04
7	HGST	HDS5C4040ALE630	2012-01-04
25	HGST	HDS723030BLE640	2011-12
??	HGST	HDS5C1010CLA382	2010-07-27
??	HGST	HDS721050CLA362	2010-04-13
1	HGST	HDS5C3030ALA630	2010-01-12
11	HGST	HDS723030ALA640	2010-01-12
16	HGST	HDS723020BLA642	2010-01-12
6	HGST	HDS722020ALA330	2009-09-30
13	HGST	HDT721010SLA360	2008-07-09
??	HGST	HDT721032SLA360	2008-07-02
68	HGST	HDT725025VLA380	2006-04-05
??	HGST	HDS728080PLA380	2005-03-07


# from photos in the internet
??	Samsung	HD153WI	2009-12-16
??	Samsung	HD642JJ	2008-04-08
29	Samsung	HD103UJ	2007-11
38	Samsung	HD154UI	2007
??	Samsung	HD300LJ	2006-09-19

# from datasheets, announces from different places in the internet
20	Toshiba	DT01ACA300	2015-07-02
84	Toshiba	MD04ABA500V	2014-08-04
85	Toshiba	MD04ABA400V	2014-08-04
89	Toshiba	MQ01ABF050	2013-01-04
??	Toshiba	DT01ACA100	2012-08-08
??	Toshiba	DT01ACA200	2011-10-18
94	Toshiba	MQ01ABF050M
??	Toshiba	DT01ACA025	2012-06-26
??	Toshiba	DT01ACA032	2012-06-26
??	Toshiba	DT01ACA050	2012-06-26
??	Toshiba	DT01ACA064	2012-06-26
??	Toshiba	DT01ACA075	2012-06-26
??	Toshiba	DT01ACA10	2012-06-26

#from datasheets with revisions. Usually take the initial one (if it is not stated that a drive added, than for that drive we take that revision date)

2	Seagate	ST1500DM003	2011-08-19
3	Seagate	ST3000DM001	2011-08-19
4	Seagate	ST31500541AS	2009-04-16
5	Seagate	ST32000542AS	2009-04-16
8	Seagate	ST31500341AS	2008-06-17
15	Seagate	ST33000651AS	2010-09-10
19	Seagate	ST1500DL003	2010-11-05
21	Seagate	ST2000DM001	2011-08-19
26	Seagate	ST2000DL003	2010-11-05
41	Seagate	ST320LT007	2010-06-02
43	Seagate	ST3160318AS	2008-08-15
46	Seagate	ST9250315AS	2009-07
49	Seagate	ST9320325AS	2009-07
